symbol
ABB
ACC
ADANIENT
ADANIPORTS
ALKEM
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASIANPAINT
ASTRAL
AUROPHARMA
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJFINANCE
BALKRISIND
BALRAMCHIN
BANDHANBNK
BANKBARODA
BATAINDIA
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BHEL
BIOCON
BOSCHLTD
BPCL
BRITANNIA
BSOFT
CANBK
CANFINHOME
CHAMBLFERT
CHOLAFIN
CIPLA
COALINDIA
COFORGE
COLPAL
CONCOR
COROMANDEL
CROMPTON
CUB
CUMMINSIND
DABUR
DALBHARAT
DEEPAKNTR
DELHIVERY
DELTACORP
DIVISLAB
DIXON
DLF
DRREDDY
EICHERMOT
ESCORTS
EXIDEIND
FEDERALBNK
GNFC
GODREJCP
GODREJPROP
GRANULES
GRASIM
GUJGASLTD
HAL
HAVELLS
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HONAUT
IBULHSGFIN
ICICIBANK
ICICIGI
ICICIPRULI
IDEA
IDFC
IDFCFIRSTB
IEX
IGL
INDHOTEL
INDIACEM
INDIAMART
INDIGO
INDUSINDBK
INDUSTOWER
INFY
INTELLECT
IOC
IPCALAB
IRCTC
ITC
JINDALSTEL
JKCEMENT
JSWSTEEL
JUBLFOOD
KOTAKBANK
L&TFH
LALPATHLAB
LICHSGFIN
LT
LTIM
LTTS
LUPIN
M&M
M&MFIN
MANAPPURAM
MARICO
MARUTI
MCDOWELL-N
MCX
METROPOLIS
MFSL
MGL
MOTHERSON
MPHASIS
MRF
MUTHOOTFIN
NAM-INDIA
NATIONALUM
NAUKRI
NAVINFLUOR
NESTLEIND
NMDC
NTPC
OBEROIRLTY
OFSS
ONGC
PAGEIND
PEL
PERSISTENT
PETRONET
PFC
PIDILITIND
PIIND
POLYCAB
POWERGRID
PVRINOX
RAIN
RAMCOCEM
RBLBANK
RECLTD
RELIANCE
SAIL
SBICARD
SBILIFE
SBIN
SHREECEM
SHRIRAMFIN
SIEMENS
SRF
SRTRANSFIN
SUNPHARMA
SUNTV
SUPRAJIT
SUPREMEIND
SYNGENE
TATACHEM
TATACOMM
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TCS
TECHM
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TVSMOTOR
UBL
ULTRACEMCO
UNIONBANK
UPL
VEDL
VOLTAS
WIPRO
ZEEL
